setting,method,WPC,Warn,blind_recall,avg_real_blind,extra_real/frame,accept
20x20-fast-self-filtered,EgoOnly,1.850%,40.25%,26.67%,5.45,0.74,0.00%
20x20-fast-self-filtered,CleanCoop oracle,0.425%,46.50%,26.67%,5.45,0.74,0.00%
20x20-fast-self-filtered,RealOtherRaw,1.725%,41.00%,26.67%,5.45,0.74,0.00%
20x20-fast-self-filtered,RealOtherTrustCalib,1.725%,41.00%,26.67%,5.45,0.74,89.50%
20x20-fast-self-filtered,RealOtherObjectGuard,1.850%,40.25%,26.67%,5.45,0.74,84.25%
20x20-v1-self-filtered,EgoOnly,1.850%,53.75%,26.67%,5.45,0.74,0.00%
20x20-v1-self-filtered,CleanCoop oracle,0.425%,56.50%,26.67%,5.45,0.74,0.00%
20x20-v1-self-filtered,RealOtherRaw,1.725%,49.00%,26.67%,5.45,0.74,0.00%
20x20-v1-self-filtered,RealOtherTrustCalib,1.725%,51.00%,26.67%,5.45,0.74,89.50%
20x20-v1-self-filtered,RealOtherObjectGuard,1.850%,50.75%,26.67%,5.45,0.74,84.25%
full-fast-self-filtered,EgoOnly,1.888%,35.88%,28.04%,4.65,0.51,0.00%
full-fast-self-filtered,CleanCoop oracle,0.291%,43.87%,28.04%,4.65,0.51,0.00%
full-fast-self-filtered,RealOtherRaw,1.580%,38.85%,28.04%,4.65,0.51,0.00%
full-fast-self-filtered,RealOtherTrustCalib,1.580%,38.85%,28.04%,4.65,0.51,94.75%
full-fast-self-filtered,RealOtherObjectGuard,1.888%,35.94%,28.04%,4.65,0.51,89.62%
