mode,comparison,diff_pp,ci_low,ci_high,p_diff_lt_0,scenarios
drop,Final - Raw fusion,-0.8749999999999999,-2.525,0.25000000000000006,0.8984,20
drop,Final - TrustCalib only,-0.8749999999999999,-2.525,0.25000000000000006,0.8984,20
drop,Final - w/o MissingRecovery,-0.8749999999999999,-2.525,0.25000000000000006,0.8984,20
fake_front,Final - Raw fusion,-1.7499999999999998,-3.5506249999999997,-0.3999999999999999,0.9975,20
fake_front,Final - TrustCalib only,-1.7499999999999998,-3.5506249999999997,-0.3999999999999999,0.9975,20
fake_front,Final - w/o BoxGuard,0.025000000000000022,0.0,0.07500000000000007,0.0,20
noise+fake_front,Final - Raw fusion,-1.5,-2.65,-0.49999999999999994,0.9994,20
noise+fake_front,Final - TrustCalib only,-2.5,-4.025,-1.25,1.0,20
noise+fake_front,Final - w/o BoxGuard,-2.0,-3.175,-1.0750000000000002,1.0,20
noise+fake_front,Final - w/o MissingRecovery,-0.27499999999999997,-0.8250000000000001,0.12500000000000003,0.8624,20
noise+fake_front,Final - w/o smoothing,-0.024999999999999935,-0.24999999999999997,0.175,0.5355,20
noise+fake_front,Final - w/o noisy recovery,-0.27499999999999997,-0.8250000000000001,0.12500000000000003,0.8624,20
