mode,support_modes,scenario_index,frame_index,method,wp_coll,wp_total,warned,avg_mod,geom,p_coll,report_action,obj_removed,fake_seen,fake_removed,real_removed,missing_candidates,missing_recovered,missing_gt,missing_recovery_tp,missing_recovery_fp,smooth_agents
fake_front,clean+fake_front,7,0,EgoOnly,3,10,1,0.1,1,0.15264847874641418,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,0,CleanCoop,0,10,1,0.8,8,0.18618473410606384,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,0,PrimaryRaw,1,10,1,1.0,10,0.18618473410606384,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,0,PrimaryTrustCalib,1,10,1,1.0,10,0.18618473410606384,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,0,MultiPeerObjectGuard,1,10,1,1.0,10,0.18618473410606384,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,1,EgoOnly,2,10,1,0.2,2,0.15437646210193634,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,1,CleanCoop,0,10,1,0.8,8,0.18251489102840424,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,1,PrimaryRaw,0,10,1,1.0,10,0.18251489102840424,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,1,PrimaryTrustCalib,0,10,1,1.0,10,0.18251489102840424,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,1,MultiPeerObjectGuard,0,10,1,1.0,10,0.18251489102840424,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,2,EgoOnly,2,10,1,0.3,3,0.18399128317832947,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,2,CleanCoop,0,10,1,0.8,8,0.17869067192077637,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,2,PrimaryRaw,0,10,1,1.0,10,0.17869067192077637,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,2,PrimaryTrustCalib,0,10,1,1.0,10,0.17869067192077637,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,2,MultiPeerObjectGuard,0,10,1,1.0,10,0.17869067192077637,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,3,EgoOnly,2,10,1,0.3,3,0.152507022023201,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,3,CleanCoop,0,10,1,0.8,8,0.1718025952577591,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,3,PrimaryRaw,0,10,1,1.0,10,0.1718025952577591,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,3,PrimaryTrustCalib,0,10,1,1.0,10,0.1718025952577591,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,3,MultiPeerObjectGuard,0,10,1,1.0,10,0.1718025952577591,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,4,EgoOnly,1,10,1,0.3,3,0.16032369434833527,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,4,CleanCoop,0,10,1,0.7,7,0.1697544902563095,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,4,PrimaryRaw,1,10,1,1.0,10,0.1697544902563095,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,4,PrimaryTrustCalib,1,10,1,1.0,10,0.1697544902563095,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,4,MultiPeerObjectGuard,1,10,1,1.0,10,0.1697544902563095,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,5,EgoOnly,0,10,1,0.7,7,0.19189539551734924,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,5,CleanCoop,0,10,1,0.7,7,0.16067397594451904,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,5,PrimaryRaw,1,10,1,1.0,10,0.16067397594451904,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,5,PrimaryTrustCalib,1,10,1,1.0,10,0.16067397594451904,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,5,MultiPeerObjectGuard,1,10,1,1.0,10,0.16067397594451904,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,6,EgoOnly,0,10,1,0.7,7,0.1722574681043625,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,6,CleanCoop,0,10,1,0.7,7,0.1715162694454193,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,6,PrimaryRaw,2,10,1,1.0,10,0.1715162694454193,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,6,PrimaryTrustCalib,2,10,1,1.0,10,0.1715162694454193,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,6,MultiPeerObjectGuard,2,10,1,1.0,10,0.1715162694454193,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,7,EgoOnly,0,10,1,0.6,6,0.2313428372144699,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,7,CleanCoop,0,10,1,0.6,6,0.21758891642093658,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,7,PrimaryRaw,2,10,1,1.0,10,0.21758891642093658,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,7,PrimaryTrustCalib,2,10,1,1.0,10,0.21758891642093658,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,7,MultiPeerObjectGuard,2,10,1,1.0,10,0.21758891642093658,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,8,EgoOnly,0,10,1,0.6,6,0.2956150770187378,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,8,CleanCoop,0,10,1,0.6,6,0.27956125140190125,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,8,PrimaryRaw,1,10,1,1.0,10,0.27956125140190125,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,8,PrimaryTrustCalib,1,10,1,1.0,10,0.27956125140190125,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,8,MultiPeerObjectGuard,1,10,1,1.0,10,0.27956125140190125,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,9,EgoOnly,0,10,1,0.6,6,0.3101848065853119,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,9,CleanCoop,0,10,1,0.6,6,0.3026198744773865,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,9,PrimaryRaw,2,10,1,1.0,10,0.3026198744773865,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,9,PrimaryTrustCalib,2,10,1,1.0,10,0.3026198744773865,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,9,MultiPeerObjectGuard,2,10,1,1.0,10,0.3026198744773865,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,10,EgoOnly,0,10,1,0.6,6,0.307140052318573,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,10,CleanCoop,0,10,1,0.6,6,0.3036900758743286,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,10,PrimaryRaw,1,10,1,1.0,10,0.3036900758743286,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,10,PrimaryTrustCalib,1,10,1,1.0,10,0.3036900758743286,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,10,MultiPeerObjectGuard,1,10,1,1.0,10,0.3036900758743286,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,11,EgoOnly,0,10,1,0.6,6,0.24371126294136047,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,11,CleanCoop,0,10,1,0.6,6,0.24213498830795288,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,11,PrimaryRaw,0,10,1,1.0,10,0.24213498830795288,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,11,PrimaryTrustCalib,0,10,1,1.0,10,0.24213498830795288,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,11,MultiPeerObjectGuard,0,10,1,1.0,10,0.24213498830795288,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,12,EgoOnly,0,10,1,0.6,6,0.19582699239253998,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,12,CleanCoop,0,10,1,0.6,6,0.2022445648908615,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,12,PrimaryRaw,0,10,1,1.0,10,0.2022445648908615,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,12,PrimaryTrustCalib,0,10,1,1.0,10,0.2022445648908615,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,12,MultiPeerObjectGuard,0,10,1,1.0,10,0.2022445648908615,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,13,EgoOnly,0,10,1,0.6,6,0.16944557428359985,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,13,CleanCoop,0,10,1,0.6,6,0.16660206019878387,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,13,PrimaryRaw,0,10,1,1.0,10,0.16660206019878387,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,13,PrimaryTrustCalib,0,10,1,1.0,10,0.16660206019878387,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,13,MultiPeerObjectGuard,0,10,1,1.0,10,0.16660206019878387,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,EgoOnly,0,10,1,0.6,6,0.1624145209789276,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,CleanCoop,0,10,1,0.6,6,0.15920035541057587,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,PrimaryRaw,0,10,1,1.0,10,0.15920035541057587,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,PrimaryTrustCalib,0,10,1,1.0,10,0.15920035541057587,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,MultiPeerObjectGuard,0,10,1,1.0,10,0.15920035541057587,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,15,EgoOnly,1,10,1,0.5,5,0.18329863250255585,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,15,CleanCoop,0,10,1,0.7,7,0.20441308617591858,,0,0,0,0,0,0,0,0,0,0
