mode,support_modes,method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,time_correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,probation_restore_rate,avg_dx,avg_dy,avg_delay_s,avg_obj_removed,fake_seen,fake_removed,fake_removal_rate,real_removed,clean_false_remove_per_frame,avg_real_peer_support,avg_fake_peer_support,avg_real_trust_support,avg_fake_trust_support,avg_real_cluster_cov,avg_fake_cluster_cov,avg_real_offset_spread,avg_fake_offset_spread,avg_missing_candidates,avg_missing_recovered,avg_missing_gt,missing_recovery_tp,missing_recovery_fp,missing_recovery_precision,missing_recovery_recall,missing_recovery_rate,avg_smoothed_agents,avg_smooth_residual,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,frame_window,enable_missing_recovery,enable_box_margin_guard,enable_peer_consensus_smoothing,disable_v1
fake_front,clean+fake_front,EgoOnly,400,74,4000,0.0185,0.5375,0.11725000000000019,1.1725,0.25204863503575325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
fake_front,clean+fake_front,CleanCoop,400,17,4000,0.00425,0.565,0.18299999999999997,1.83,0.2279845898784697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
fake_front,clean+fake_front,PrimaryRaw,400,87,4000,0.02175,1.0,0.9287500000000002,9.2875,0.22645972991362215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
fake_front,clean+fake_front,PrimaryTrustCalib,400,87,4000,0.02175,1.0,0.9287500000000002,9.2875,0.22645972991362215,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
fake_front,clean+fake_front,MultiPeerObjectGuard,400,72,4000,0.018,1.0,0.9232500000000001,9.2325,0.22645972991362215,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,0,0.0,0,0.0,2.0,1.0,2.0,1.0,3.6110205706079925e-29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0475,1.538598882377401,20,22,20,20,start,True,True,True,False
noise+fake_front,clean+fake_front,EgoOnly,400,74,4000,0.0185,0.5375,0.11725000000000019,1.1725,0.25204863503575325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
noise+fake_front,clean+fake_front,CleanCoop,400,17,4000,0.00425,0.565,0.18299999999999997,1.83,0.2279845898784697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
noise+fake_front,clean+fake_front,PrimaryRaw,400,77,4000,0.01925,1.0,0.9287500000000002,9.2875,0.22562485102564098,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
noise+fake_front,clean+fake_front,PrimaryTrustCalib,400,117,4000,0.02925,0.915,0.7639999999999998,7.64,0.2358839051052928,400,0.0,0.0375,0.0,0.7575,0.205,0.0,0.0,-0.0064314137649760725,0.0017206126727916731,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
noise+fake_front,clean+fake_front,MultiPeerObjectGuard,400,100,4000,0.025,0.9075,0.7712499999999999,7.7125,0.2260096394084394,400,0.0,0.0375,0.0,0.7475,0.205,0.01,0.0,-0.0064314137649760725,0.0017206126727916731,0.0,0.01,318,0,0.0,0,0.0,1.4695846975702223,1.0031446540880504,1.4695846975702223,1.0031446540880504,0.5991728327177486,0.3246685648799813,0.0,0.0,6.88,4.3675,6.88,1747,0,1.0,0.6348110465116279,0.6348110465116279,13.11,1.7563008657034047,20,22,20,20,start,True,True,True,False
