mode,support_modes,method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,time_correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,probation_restore_rate,avg_dx,avg_dy,avg_delay_s,avg_obj_removed,fake_seen,fake_removed,fake_removal_rate,real_removed,clean_false_remove_per_frame,avg_real_peer_support,avg_fake_peer_support,avg_real_trust_support,avg_fake_trust_support,avg_real_cluster_cov,avg_fake_cluster_cov,avg_real_offset_spread,avg_fake_offset_spread,avg_missing_candidates,avg_missing_recovered,avg_missing_gt,missing_recovery_tp,missing_recovery_fp,missing_recovery_precision,missing_recovery_recall,missing_recovery_rate,avg_smoothed_agents,avg_smooth_residual,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,frame_window,enable_missing_recovery,enable_box_margin_guard,enable_peer_consensus_smoothing,disable_v1
clean,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
clean,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
clean,clean+shift,PrimaryRaw,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
clean,clean+shift,PrimaryTrustCalib,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
clean,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0,0.0,3.468883167903789e-29,0.0,1.1180339887498953,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift,clean+shift,PrimaryRaw,330,36,3300,0.01090909090909091,0.7454545454545455,0.2524242424242425,2.5242424242424244,0.35830844753619395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift,clean+shift,PrimaryTrustCalib,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,330,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,330,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0,0.0,3.4682884126382887e-29,0.0,1.1180339887498953,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
