scenario_index,frame_index,source_available,primary_action,guarded_action,obj_removed,missing_recovered,missing_candidates,missing_gt,missing_tp,missing_fp,EgoOnly_wp_coll,EgoOnly_warned,EgoOnly_geom,EgoOnly_mod,EgoOnly_agents,CleanCoop_wp_coll,CleanCoop_warned,CleanCoop_geom,CleanCoop_mod,CleanCoop_agents,RealPrimaryRaw_wp_coll,RealPrimaryRaw_warned,RealPrimaryRaw_geom,RealPrimaryRaw_mod,RealPrimaryRaw_agents,RealPrimaryTrustCalib_wp_coll,RealPrimaryTrustCalib_warned,RealPrimaryTrustCalib_geom,RealPrimaryTrustCalib_mod,RealPrimaryTrustCalib_agents,RealMultiEvidenceGuard_wp_coll,RealMultiEvidenceGuard_warned,RealMultiEvidenceGuard_geom,RealMultiEvidenceGuard_mod,RealMultiEvidenceGuard_agents,guard_minus_ego_wp_coll,guard_minus_clean_wp_coll
7,0,4,accept,accept,0,1,1,11,1,0,3,1,1,0.1,27,0,1,8,0.8,39,0,1,8,0.8,28,0,1,8,0.8,28,0,1,8,0.8,29,-3,0
7,1,4,accept,accept,0,3,3,12,3,0,2,1,2,0.2,26,0,1,8,0.8,39,0,1,8,0.8,27,0,1,8,0.8,27,0,1,8,0.8,30,-2,0
7,2,4,accept,accept,0,3,3,11,3,0,2,1,3,0.3,26,0,1,8,0.8,39,0,1,8,0.8,28,0,1,8,0.8,28,0,1,8,0.8,31,-2,0
7,3,4,accept,accept,0,3,3,12,3,0,2,1,3,0.3,25,0,1,8,0.8,39,0,1,8,0.8,27,0,1,8,0.8,27,0,1,8,0.8,30,-2,0
7,4,4,accept,accept,0,3,3,12,3,0,1,1,3,0.3,25,0,1,7,0.7,39,0,1,7,0.7,27,0,1,7,0.7,27,0,1,7,0.7,30,-1,0
7,5,4,accept,accept,0,1,1,10,1,0,0,1,7,0.7,25,0,1,7,0.7,39,0,1,7,0.7,29,0,1,7,0.7,29,0,1,7,0.7,30,0,0
7,6,4,accept,accept,0,2,2,10,2,0,0,1,7,0.7,27,0,1,7,0.7,39,0,1,7,0.7,29,0,1,7,0.7,29,0,1,7,0.7,31,0,0
7,7,4,accept,accept,0,2,2,10,2,0,0,1,6,0.6,27,0,1,6,0.6,39,0,1,6,0.6,29,0,1,6,0.6,29,0,1,6,0.6,31,0,0
7,8,4,accept,accept,0,2,2,11,2,0,0,1,6,0.6,26,0,1,6,0.6,39,0,1,6,0.6,28,0,1,6,0.6,28,0,1,6,0.6,30,0,0
7,9,4,accept,accept,0,2,2,11,2,0,0,1,6,0.6,27,0,1,6,0.6,39,0,1,6,0.6,28,0,1,6,0.6,28,0,1,6,0.6,30,0,0
