mode,support_modes,method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,time_correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,probation_restore_rate,avg_dx,avg_dy,avg_delay_s,avg_obj_removed,fake_seen,fake_removed,fake_removal_rate,real_removed,clean_false_remove_per_frame,avg_real_peer_support,avg_fake_peer_support,avg_real_trust_support,avg_fake_trust_support,avg_real_cluster_cov,avg_fake_cluster_cov,avg_real_offset_spread,avg_fake_offset_spread,avg_missing_candidates,avg_missing_recovered,avg_missing_gt,missing_recovery_tp,missing_recovery_fp,missing_recovery_precision,missing_recovery_recall,missing_recovery_rate,avg_smoothed_agents,avg_smooth_residual,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,frame_window,enable_missing_recovery,enable_box_margin_guard,enable_peer_consensus_smoothing,disable_v1
drop,clean+drop,EgoOnly,400,74,4000,0.0185,0.4025,0.11725000000000019,1.1725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+drop,CleanCoop,400,17,4000,0.00425,0.465,0.18299999999999997,1.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+drop,PrimaryRaw,400,56,4000,0.014,0.425,0.1365000000000002,1.365,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+drop,PrimaryTrustCalib,400,56,4000,0.014,0.425,0.1365000000000002,1.365,0.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+drop,MultiPeerObjectGuard,400,46,4000,0.0115,0.44,0.1545000000000002,1.545,0.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.325925925925926,0.0,1.325925925925926,0.0,0.009666503260267287,0.0,0.0,0.0,3.5325,3.45,11.935,1380,0,1.0,0.2890657729367407,0.9766454352441614,0.1775,1.1838201467462939,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+drop,EgoOnly,400,74,4000,0.0185,0.4025,0.11725000000000019,1.1725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+drop,CleanCoop,400,17,4000,0.00425,0.465,0.18299999999999997,1.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+drop,PrimaryRaw,400,71,4000,0.01775,1.0,0.9285000000000001,9.285,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+drop,PrimaryTrustCalib,400,115,4000,0.02875,0.885,0.7689999999999998,7.69,0.0,400,0.0,0.0225,0.0,0.7975,0.18,0.0,0.0,-0.008208370633101291,0.04286155928981283,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+drop,MultiPeerObjectGuard,400,31,4000,0.00775,0.4625,0.16850000000000004,1.685,0.0,400,0.0,0.0025,0.0,0.0075,0.18,0.81,0.0,-0.008208370633101291,0.04286155928981283,0.0,0.815,328,324,0.9878048780487805,1,0.0025,0.9624849423507141,0.009146341463414634,0.9624849423507141,0.009146341463414634,0.8123353562581546,0.023288890953350835,0.0,0.0,2.1525,1.37,6.9725,548,0,1.0,0.19648619576909288,0.6364692218350755,4.295,1.75935933761143,20,22,20,20,start,True,True,True,True
