mode,support_modes,method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,time_correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,probation_restore_rate,avg_dx,avg_dy,avg_delay_s,avg_obj_removed,fake_seen,fake_removed,fake_removal_rate,real_removed,clean_false_remove_per_frame,avg_real_peer_support,avg_fake_peer_support,avg_real_trust_support,avg_fake_trust_support,avg_real_cluster_cov,avg_fake_cluster_cov,avg_real_offset_spread,avg_fake_offset_spread,avg_missing_candidates,avg_missing_recovered,avg_missing_gt,missing_recovery_tp,missing_recovery_fp,missing_recovery_precision,missing_recovery_recall,missing_recovery_rate,avg_smoothed_agents,avg_smooth_residual,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,frame_window,enable_missing_recovery,enable_box_margin_guard,enable_peer_consensus_smoothing,disable_v1
drop,clean+noise,EgoOnly,400,74,4000,0.0185,0.4025,0.11725000000000019,1.1725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+noise,CleanCoop,400,17,4000,0.00425,0.465,0.18299999999999997,1.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+noise,PrimaryRaw,400,61,4000,0.01525,0.425,0.1335000000000002,1.335,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+noise,PrimaryTrustCalib,400,61,4000,0.01525,0.425,0.1335000000000002,1.335,0.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,clean+noise,MultiPeerObjectGuard,400,35,4000,0.00875,0.4475,0.15775000000000017,1.5775,0.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.6132031613203162,0.0,1.6132031613203162,0.0,0.49307363905426077,0.0,0.19792394269006944,0.0,7.0575,6.88,11.93,2752,0,1.0,0.5766974015088013,0.9748494509387177,3.8875,0.9047839920092448,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+noise,EgoOnly,400,74,4000,0.0185,0.4025,0.11725000000000019,1.1725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+noise,CleanCoop,400,17,4000,0.00425,0.465,0.18299999999999997,1.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+noise,PrimaryRaw,400,74,4000,0.0185,1.0,0.9282500000000001,9.2825,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+noise,PrimaryTrustCalib,400,102,4000,0.0255,0.8725,0.7602499999999999,7.6025,0.0,400,0.0,0.025,0.0025,0.755,0.2175,0.0,0.0,0.04122174254001806,0.01505251767976331,0.0025,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,clean+noise,MultiPeerObjectGuard,400,18,4000,0.0045,0.47,0.18349999999999989,1.835,0.0,400,0.0,0.0,0.0,0.03,0.2175,0.7525,0.0,0.04122174254001806,0.01505251767976331,0.0025,0.7575,313,299,0.9552715654952076,1,0.0025,1.1494713816988698,0.04153354632587859,1.1494713816988698,0.04153354632587859,1.074658206541869,0.06383973483491498,0.10609681460251028,0.0013587476357725123,3.7425,3.1225,7.4775,1249,0,1.0,0.4175860916081578,0.8343353373413493,8.0875,1.6545559922290145,20,22,20,20,start,True,True,True,True
