mode,support_modes,method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,time_correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,probation_restore_rate,avg_dx,avg_dy,avg_delay_s,avg_obj_removed,fake_seen,fake_removed,fake_removal_rate,real_removed,clean_false_remove_per_frame,avg_real_peer_support,avg_fake_peer_support,avg_real_trust_support,avg_fake_trust_support,avg_real_cluster_cov,avg_fake_cluster_cov,avg_real_offset_spread,avg_fake_offset_spread,avg_missing_candidates,avg_missing_recovered,avg_missing_gt,missing_recovery_tp,missing_recovery_fp,missing_recovery_precision,missing_recovery_recall,missing_recovery_rate,avg_smoothed_agents,avg_smooth_residual,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,frame_window,enable_missing_recovery,enable_box_margin_guard,enable_peer_consensus_smoothing,disable_v1
drop,drop+drop,EgoOnly,400,74,4000,0.0185,0.4025,0.11725000000000019,1.1725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,drop+drop,CleanCoop,400,17,4000,0.00425,0.465,0.18299999999999997,1.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,drop+drop,PrimaryRaw,400,55,4000,0.01375,0.42,0.1367500000000002,1.3675,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,drop+drop,PrimaryTrustCalib,400,55,4000,0.01375,0.42,0.1367500000000002,1.3675,0.0,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
drop,drop+drop,MultiPeerObjectGuard,400,57,4000,0.01425,0.42,0.13625000000000018,1.3625,0.0,400,0.9925,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0075,0,0,0.0,3,0.0075,0.6718020541549953,0.0,0.6718020541549953,0.0,0.021880477388300776,0.0,0.0,0.0,1.0775,1.045,11.9575,418,0,1.0,0.08739284967593561,0.9698375870069605,0.17,1.476542133131718,20,22,20,20,start,True,True,True,True
noise+fake_front,drop+drop,EgoOnly,400,74,4000,0.0185,0.4025,0.11725000000000019,1.1725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,drop+drop,CleanCoop,400,17,4000,0.00425,0.465,0.18299999999999997,1.83,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,drop+drop,PrimaryRaw,400,72,4000,0.018,1.0,0.9282500000000001,9.2825,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,drop+drop,PrimaryTrustCalib,400,133,4000,0.03325,0.8825,0.7647499999999997,7.6475,0.0,400,0.0,0.0275,0.0025,0.765,0.205,0.0,0.0,-0.009112883117704883,0.006230386457732013,0.00375,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,True
noise+fake_front,drop+drop,MultiPeerObjectGuard,400,53,4000,0.01325,0.435,0.1460000000000002,1.46,0.0,400,0.0,0.0,0.0,0.0075,0.205,0.7875,0.0,-0.009112883117704883,0.006230386457732013,0.00375,0.81,318,314,0.9874213836477987,10,0.025,0.4611171960569551,0.012578616352201259,0.4611171960569551,0.012578616352201259,0.466077072989658,0.03420083746137861,0.0,0.0,0.68,0.47,7.55,188,0,1.0,0.06225165562913907,0.6911764705882353,1.2975,1.784560381504181,20,22,20,20,start,True,True,True,True
