rank,method,score,WPC%,FA(f),Det(s),FA(s),Early
1,Hybrid-GeomOnly,63,0.0029092983456930977,0.4018264840182648,1.0,1.0,45.54545454545455
2,Hybrid-Geom+TTC,99,0.0029092983456930977,0.5048923679060665,1.0,1.0,47.0
3,Hybrid+AND-thr0.30,117,0.0029092983456930977,0.4018264840182648,1.0,1.0,45.54545454545455
4,MAP-coop,120,0.0037079292641186536,0.32615786040443573,1.0,0.9090909090909091,38.45454545454545
5,Hybrid-thr0.30,124,0.0029092983456930977,0.5733855185909981,1.0,1.0,55.09090909090909
6,Hybrid+AND+TTC+RearAware-thr0.30,150,0.0029092983456930977,0.4840182648401826,1.0,1.0,47.0
7,Hybrid+AND+TTC-thr0.30,153,0.0029092983456930977,0.5048923679060665,1.0,1.0,47.0
8,UniE2EV2X-coop,166,0.009241300627495721,0.5994781474233529,1.0,1.0,55.36363636363637
9,Hybrid+AND+TTC+MinHarm-thr0.30,172,0.0029092983456930977,0.4840182648401826,1.0,1.0,47.0
10,NoCon-egoonly,175,0.04415288077581289,0.0,0.0,0.0,0
11,Hybrid-V1Only-thr0.30,182,0.04415288077581289,0.21330724070450097,1.0,0.6363636363636364,38.18181818181818
12,Hybrid+AND+TTC+RearEscape-thr0.30,194,0.0029092983456930977,0.4840182648401826,1.0,1.0,47.0
13,RiskMM-coop,195,0.04073017683970336,0.9856490541422048,1.0,1.0,62.27272727272727
14,NoCon-coop,197,0.04415288077581289,0.0,0.0,0.0,0
15,RSS-coop,203,0.04415288077581289,0.9523809523809523,1.0,1.0,62.27272727272727
