method,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,ckpt_auc,ckpt_sha256,val_scenarios
NoCon-egoonly,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.04415288077581289,0.0,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
NoCon-coop,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.04415288077581289,0.0,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
RSS-coop,0.5,0,0.0,1.0,1.0,62.27272727272727,1.0,0.9523809523809523,0.04415288077581289,0.9583571021106674,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
UniE2EV2X-coop,0.5,0,0.0,1.0,0.8863636363636364,55.36363636363637,1.0,0.5994781474233529,0.009241300627495721,0.6354820308043354,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
MAP-coop,0.5,0,0.0,1.0,0.5863636363636363,38.45454545454545,0.9090909090909091,0.32615786040443573,0.0037079292641186536,0.35881346263548203,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
RiskMM-coop,0.5,0,0.0,1.0,0.9818181818181818,62.27272727272727,1.0,0.9856490541422048,0.04073017683970336,0.9851682829435254,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid-V1Only-thr0.30,0.5,0,0.0,1.0,0.7318181818181818,38.18181818181818,0.6363636363636364,0.21330724070450097,0.04415288077581289,0.27837992013690815,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid-GeomOnly,0.5,0,0.0,1.0,0.6954545454545454,45.54545454545455,1.0,0.4018264840182648,0.0029092983456930977,0.43867655447803766,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid-Geom+TTC,0.5,0,0.0,1.0,0.8318181818181818,47.0,1.0,0.5048923679060665,0.0029092983456930977,0.5459212778094695,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid-thr0.30,0.5,0,0.0,1.0,0.9136363636363637,55.09090909090909,1.0,0.5733855185909981,0.0029092983456930977,0.6160867084997148,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid+AND-thr0.30,0.5,0,0.0,1.0,0.6954545454545454,45.54545454545455,1.0,0.4018264840182648,0.0029092983456930977,0.43867655447803766,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid+AND+TTC-thr0.30,0.5,0,0.0,1.0,0.8318181818181818,47.0,1.0,0.5048923679060665,0.0029092983456930977,0.5459212778094695,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid+AND+TTC+RearAware-thr0.30,0.5,0,0.0,1.0,0.8181818181818182,47.0,1.0,0.4840182648401826,0.0029092983456930977,0.5259555048488306,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid+AND+TTC+MinHarm-thr0.30,0.5,0,0.0,1.0,0.8181818181818182,47.0,1.0,0.4840182648401826,0.0029092983456930977,0.5259555048488306,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Hybrid+AND+TTC+RearEscape-thr0.30,0.5,0,0.0,1.0,0.8181818181818182,47.0,1.0,0.4840182648401826,0.0029092983456930977,0.5259555048488306,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
