scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS1_blind_rand42,NoCon-egoonly,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind_rand42,NoCon-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind_rand42,RSS-coop,46,0,-1,0,,-1,0,29,0.0,62,2200,113,220
BS1_blind_rand42,UniE2EV2X-coop,46,0,-1,0,,-1,0,37,0.0,2,2200,154,220
BS1_blind_rand42,MAP-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind_rand42,RiskMM-coop,46,0,-1,0,,-1,0,29,0.0,60,2200,191,220
BS1_blind_rand42,Hybrid-V1Only-thr0.30,46,0,-1,0,,-1,0,29,0.0,62,2200,191,220
BS1_blind_rand42,Hybrid-GeomOnly,46,0,-1,0,,-1,0,37,0.0,0,2200,49,220
BS1_blind_rand42,Hybrid-Geom+TTC,46,0,-1,0,,-1,0,29,0.0,0,2200,64,220
BS1_blind_rand42,Hybrid-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,191,220
BS1_blind_rand42,Hybrid+AND-thr0.30,46,0,-1,0,,-1,0,37,0.0,0,2200,49,220
BS1_blind_rand42,Hybrid+AND+TTC-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,64,220
BS1_blind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,64,220
BS1_blind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,67,220
BS1_blind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,67,220
BS1_nonblind_rand42,NoCon-egoonly,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind_rand42,NoCon-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind_rand42,RSS-coop,46,0,-1,0,,-1,0,26,0.0,62,2200,116,220
BS1_nonblind_rand42,UniE2EV2X-coop,46,0,-1,0,,-1,0,26,0.0,2,2200,189,220
BS1_nonblind_rand42,MAP-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind_rand42,RiskMM-coop,46,0,-1,0,,-1,0,26,0.0,57,2200,190,220
BS1_nonblind_rand42,Hybrid-V1Only-thr0.30,46,0,-1,0,,-1,0,26,0.0,60,2200,165,220
BS1_nonblind_rand42,Hybrid-GeomOnly,46,0,-1,0,,-1,0,26,0.0,0,2200,70,220
BS1_nonblind_rand42,Hybrid-Geom+TTC,46,0,-1,0,,-1,0,26,0.0,0,2200,84,220
BS1_nonblind_rand42,Hybrid-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,164,220
BS1_nonblind_rand42,Hybrid+AND-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,70,220
BS1_nonblind_rand42,Hybrid+AND+TTC-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,84,220
BS1_nonblind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,87,220
BS1_nonblind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,90,220
BS1_nonblind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,46,1,82,0,bg_42_0+ego,-1,0,26,8.666682150783945,0,2200,91,220
BS2_blind_rand42,NoCon-egoonly,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_blind_rand42,NoCon-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_blind_rand42,RSS-coop,25,0,-1,0,,-1,0,3,0.0,0,2200,87,220
BS2_blind_rand42,UniE2EV2X-coop,25,0,-1,0,,-1,0,3,0.0,0,2200,30,220
BS2_blind_rand42,MAP-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_blind_rand42,RiskMM-coop,25,0,-1,0,,-1,0,3,0.0,0,2200,101,220
BS2_blind_rand42,Hybrid-V1Only-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,131,220
BS2_blind_rand42,Hybrid-GeomOnly,25,0,-1,0,,-1,0,7,0.0,0,2200,70,220
BS2_blind_rand42,Hybrid-Geom+TTC,25,0,-1,0,,-1,0,3,0.0,0,2200,84,220
BS2_blind_rand42,Hybrid-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,132,220
BS2_blind_rand42,Hybrid+AND-thr0.30,25,0,-1,0,,-1,0,7,0.0,0,2200,70,220
BS2_blind_rand42,Hybrid+AND+TTC-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,84,220
BS2_blind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,85,220
BS2_blind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,83,220
BS2_blind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,88,220
BS2_nonblind_rand42,NoCon-egoonly,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_nonblind_rand42,NoCon-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_nonblind_rand42,RSS-coop,25,0,-1,0,,-1,0,0,0.0,0,2200,66,220
BS2_nonblind_rand42,UniE2EV2X-coop,25,0,-1,0,,-1,0,0,0.0,0,2200,35,220
BS2_nonblind_rand42,MAP-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_nonblind_rand42,RiskMM-coop,25,0,-1,0,,-1,0,0,0.0,0,2200,90,220
BS2_nonblind_rand42,Hybrid-V1Only-thr0.30,25,0,-1,0,,-1,0,7,0.0,0,2200,174,220
BS2_nonblind_rand42,Hybrid-GeomOnly,25,0,-1,0,,-1,0,0,0.0,0,2200,52,220
BS2_nonblind_rand42,Hybrid-Geom+TTC,25,0,-1,0,,-1,0,0,0.0,0,2200,54,220
BS2_nonblind_rand42,Hybrid-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,107,220
BS2_nonblind_rand42,Hybrid+AND-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,52,220
BS2_nonblind_rand42,Hybrid+AND+TTC-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,54,220
BS2_nonblind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,54,220
BS2_nonblind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,65,220
BS2_nonblind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,60,220
BS3_blind_rand42,NoCon-egoonly,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind_rand42,NoCon-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind_rand42,RSS-coop,49,0,-1,0,,-1,0,8,0.0,21,2200,60,220
BS3_blind_rand42,UniE2EV2X-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
