scenario,method,runs,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,OverlapRate,OverlapN
BS1_blind_rand42,NoCon-egoonly,1,1.0,0,11.30406496711113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
BS1_blind_rand42,NoCon-coop,1,1.0,0,11.30406496711113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
BS1_blind_rand42,RSS-coop,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.3630952380952381,0.028181818181818183,0.5136363636363637,0.0,0
BS1_blind_rand42,UniE2EV2X-coop,1,0.0,0,0.0,1.0,0.7884615384615384,9.0,0.0,0.6726190476190477,0.0009090909090909091,0.7,0.0,0
BS1_blind_rand42,MAP-coop,1,1.0,0,11.30406496711113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
BS1_blind_rand42,RiskMM-coop,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.8220858895705522,0.02727272727272727,0.8681818181818182,0.0,0
BS1_blind_rand42,Hybrid-V1Only-thr0.30,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.8242424242424242,0.028181818181818183,0.8681818181818182,0.0,0
BS1_blind_rand42,Hybrid-GeomOnly,1,0.0,0,0.0,1.0,0.7115384615384616,9.0,0.0,0.07142857142857142,0.0,0.22272727272727272,0.0,0
BS1_blind_rand42,Hybrid-Geom+TTC,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0658682634730539,0.0,0.2909090909090909,0.0,0
BS1_blind_rand42,Hybrid-thr0.30,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.8263473053892215,0.0,0.8681818181818182,0.0,0
BS1_blind_rand42,Hybrid+AND-thr0.30,1,0.0,0,0.0,1.0,0.7115384615384616,9.0,0.0,0.07142857142857142,0.0,0.22272727272727272,0.0,0
BS1_blind_rand42,Hybrid+AND+TTC-thr0.30,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0658682634730539,0.0,0.2909090909090909,0.0,0
BS1_blind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0658682634730539,0.0,0.2909090909090909,0.0,0
BS1_blind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.07272727272727272,0.0,0.30454545454545456,0.0,0
BS1_blind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.07272727272727272,0.0,0.30454545454545456,0.0,0
BS1_nonblind_rand42,NoCon-egoonly,1,1.0,0,11.30406496711113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
BS1_nonblind_rand42,NoCon-coop,1,1.0,0,11.30406496711113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
BS1_nonblind_rand42,RSS-coop,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.2972972972972973,0.028181818181818183,0.5272727272727272,0.0,0
BS1_nonblind_rand42,UniE2EV2X-coop,1,0.0,0,0.0,1.0,0.9873417721518988,20.0,0.0,0.7872340425531915,0.0009090909090909091,0.8590909090909091,0.0,0
BS1_nonblind_rand42,MAP-coop,1,1.0,0,11.30406496711113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
BS1_nonblind_rand42,RiskMM-coop,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.7872340425531915,0.02590909090909091,0.8636363636363636,0.0,0
BS1_nonblind_rand42,Hybrid-V1Only-thr0.30,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.5864661654135338,0.02727272727272727,0.75,0.0,0
BS1_nonblind_rand42,Hybrid-GeomOnly,1,0.0,0,0.0,1.0,0.8055555555555556,20.0,0.0,0.08108108108108109,0.0,0.3181818181818182,0.0,0
BS1_nonblind_rand42,Hybrid-Geom+TTC,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.08108108108108109,0.0,0.38181818181818183,0.0,0
BS1_nonblind_rand42,Hybrid-thr0.30,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.6216216216216216,0.0,0.7454545454545455,0.0,0
BS1_nonblind_rand42,Hybrid+AND-thr0.30,1,0.0,0,0.0,1.0,0.8055555555555556,20.0,0.0,0.08108108108108109,0.0,0.3181818181818182,0.0,0
BS1_nonblind_rand42,Hybrid+AND+TTC-thr0.30,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.08108108108108109,0.0,0.38181818181818183,0.0,0
BS1_nonblind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.08275862068965517,0.0,0.39545454545454545,0.0,0
BS1_nonblind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.022556390977443608,0.0,0.4090909090909091,0.0,0
BS1_nonblind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,1,1.0,0,8.666682150783945,1.0,1.0,20.0,0.0,0.03007518796992481,0.0,0.41363636363636364,0.0,0
BS2_blind_rand42,NoCon-egoonly,1,1.0,0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BS2_blind_rand42,NoCon-coop,1,1.0,0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BS2_blind_rand42,RSS-coop,1,0.0,0,0.0,1.0,0.9836065573770492,22.0,0.0,0.16981132075471697,0.0,0.39545454545454545,0.0,0
BS2_blind_rand42,UniE2EV2X-coop,1,0.0,0,0.0,1.0,0.26229508196721313,22.0,0.0,0.0880503144654088,0.0,0.13636363636363635,0.0,0
BS2_blind_rand42,MAP-coop,1,1.0,0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BS2_blind_rand42,RiskMM-coop,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.2468354430379747,0.0,0.4590909090909091,0.0,0
BS2_blind_rand42,Hybrid-V1Only-thr0.30,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.42207792207792205,0.0,0.5954545454545455,0.0,0
BS2_blind_rand42,Hybrid-GeomOnly,1,0.0,0,0.0,1.0,0.8142857142857143,18.0,0.0,0.08666666666666667,0.0,0.3181818181818182,0.0,0
BS2_blind_rand42,Hybrid-Geom+TTC,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.15527950310559005,0.0,0.38181818181818183,0.0,0
BS2_blind_rand42,Hybrid-thr0.30,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.453416149068323,0.0,0.6,0.0,0
BS2_blind_rand42,Hybrid+AND-thr0.30,1,0.0,0,0.0,1.0,0.8142857142857143,18.0,0.0,0.08666666666666667,0.0,0.3181818181818182,0.0,0
BS2_blind_rand42,Hybrid+AND+TTC-thr0.30,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.15527950310559005,0.0,0.38181818181818183,0.0,0
BS2_blind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.14556962025316456,0.0,0.38636363636363635,0.0,0
BS2_blind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.08666666666666667,0.0,0.37727272727272726,0.0,0
BS2_blind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,1,0.0,0,0.0,1.0,0.9868421052631579,22.0,0.0,0.09027777777777778,0.0,0.4,0.0,0
BS2_nonblind_rand42,NoCon-egoonly,1,1.0,0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BS2_nonblind_rand42,NoCon-coop,1,1.0,0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BS2_nonblind_rand42,RSS-coop,1,0.0,0,0.0,1.0,0.9743589743589743,25.0,0.0,0.15469613259668508,0.0,0.3,0.0,0
BS2_nonblind_rand42,UniE2EV2X-coop,1,0.0,0,0.0,1.0,0.30952380952380953,25.0,0.0,0.12359550561797752,0.0,0.1590909090909091,0.0,0
BS2_nonblind_rand42,MAP-coop,1,1.0,0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BS2_nonblind_rand42,RiskMM-coop,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.281767955801105,0.0,0.4090909090909091,0.0,0
BS2_nonblind_rand42,Hybrid-V1Only-thr0.30,1,0.0,0,0.0,1.0,0.6923076923076923,18.0,0.0,0.832258064516129,0.0,0.7909090909090909,0.0,0
BS2_nonblind_rand42,Hybrid-GeomOnly,1,0.0,0,0.0,1.0,0.9473684210526315,25.0,0.0,0.08791208791208792,0.0,0.23636363636363636,0.0,0
BS2_nonblind_rand42,Hybrid-Geom+TTC,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.08791208791208792,0.0,0.24545454545454545,0.0,0
BS2_nonblind_rand42,Hybrid-thr0.30,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.3756906077348066,0.0,0.4863636363636364,0.0,0
BS2_nonblind_rand42,Hybrid+AND-thr0.30,1,0.0,0,0.0,1.0,0.9473684210526315,25.0,0.0,0.08791208791208792,0.0,0.23636363636363636,0.0,0
BS2_nonblind_rand42,Hybrid+AND+TTC-thr0.30,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.08791208791208792,0.0,0.24545454545454545,0.0,0
BS2_nonblind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.08287292817679558,0.0,0.24545454545454545,0.0,0
BS2_nonblind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.049079754601226995,0.0,0.29545454545454547,0.0,0
BS2_nonblind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.08045977011494253,0.0,0.2727272727272727,0.0,0
BS3_blind_rand42,NoCon-egoonly,1,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
