rank,method,score,WPC%,FA(f),Det(s),FA(s),Early
1,Innov-H,86,0.002338847689674843,0.6451402478799739,1.0,1.0,56.36363636363637
2,Innov-D+H,102,0.002338847689674843,0.5179386823222439,1.0,1.0,46.54545454545455
3,Innov-D+M,104,0.021448944666286367,0.4116112198303979,1.0,0.9090909090909091,42.81818181818182
4,Innov-D,107,0.021505989731888192,0.4455316373124592,1.0,0.9090909090909091,42.81818181818182
5,Innov-NONE,111,0.021505989731888192,0.5805609915198956,1.0,1.0,56.18181818181818
6,Innov-M,113,0.021448944666286367,0.5805609915198956,1.0,1.0,56.18181818181818
7,Innov-M+H,116,0.002167712492869367,0.6451402478799739,1.0,1.0,56.36363636363637
8,Innov-V+H,123,0.0029092983456930977,0.6301369863013698,1.0,1.0,55.27272727272727
9,Innov-V+D+M+H,128,0.0029092983456930977,0.4840182648401826,1.0,1.0,47.0
10,Innov-V,130,0.02190530519110097,0.5655577299412916,1.0,1.0,54.36363636363637
11,Innov-V+D,148,0.02190530519110097,0.43313763861709065,1.0,1.0,40.27272727272727
12,Innov-V+M,184,0.02190530519110097,0.5655577299412916,1.0,1.0,54.36363636363637
