method,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,ckpt_auc,ckpt_sha256,val_scenarios
Innov-NONE,0.5,0,0.0,1.0,0.9272727272727272,56.18181818181818,1.0,0.5805609915198956,0.021505989731888192,0.6240730176839704,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-V,0.5,0,0.0,1.0,0.9272727272727272,54.36363636363637,1.0,0.5655577299412916,0.02190530519110097,0.6109526525955505,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-D,0.5,0,0.0,1.0,0.759090909090909,42.81818181818182,0.9090909090909091,0.4455316373124592,0.021505989731888192,0.48488305761551626,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-M,0.5,0,0.0,1.0,0.9272727272727272,56.18181818181818,1.0,0.5805609915198956,0.021448944666286367,0.6240730176839704,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-H,0.5,0,0.0,1.0,0.9818181818181818,56.36363636363637,1.0,0.6451402478799739,0.002338847689674843,0.6873930405019966,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-V+D,0.5,0,0.0,1.0,0.7454545454545455,40.27272727272727,1.0,0.43313763861709065,0.02190530519110097,0.47233314318311465,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-V+M,0.5,0,0.0,1.0,0.9272727272727272,54.36363636363637,1.0,0.5655577299412916,0.02190530519110097,0.6109526525955505,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-V+H,0.5,0,0.0,1.0,0.9772727272727273,55.27272727272727,1.0,0.6301369863013698,0.0029092983456930977,0.6737022247575585,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-D+M,0.5,0,0.0,1.0,0.759090909090909,42.81818181818182,0.9090909090909091,0.4116112198303979,0.021448944666286367,0.455219623502567,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-D+H,0.5,0,0.0,1.0,0.8454545454545455,46.54545454545455,1.0,0.5179386823222439,0.002338847689674843,0.5590416428978894,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-M+H,0.5,0,0.0,1.0,0.9818181818181818,56.36363636363637,1.0,0.6451402478799739,0.002167712492869367,0.6873930405019966,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
Innov-V+D+M+H,0.5,0,0.0,1.0,0.8181818181818182,47.0,1.0,0.4840182648401826,0.0029092983456930977,0.5259555048488306,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,22
