rank,method,score,WPC%,FA(f),Det(s),FA(s),Early
1,Innov-NONE,78,0.06774193548387097,0.4528301886792453,1.0,0.0,42.0
2,Innov-V,80,0.06774193548387097,0.39622641509433965,1.0,0.0,32.5
3,Innov-H,89,0.001075268817204301,0.7547169811320755,1.0,0.0,43.0
4,Innov-D,101,0.06774193548387097,0.41509433962264153,1.0,0.0,42.0
5,Innov-V+H,114,0.001075268817204301,0.660377358490566,1.0,0.0,37.5
6,Innov-M+H,117,0.0,0.7547169811320755,1.0,0.0,43.0
7,Innov-V+D+M+H,124,0.0,0.660377358490566,1.0,0.0,37.5
8,Innov-V+D,131,0.06774193548387097,0.3584905660377358,1.0,0.0,20.0
9,Innov-M,133,0.06774193548387097,0.4528301886792453,1.0,0.0,42.0
10,Innov-D+H,145,0.001075268817204301,0.7547169811320755,1.0,0.0,43.0
11,Innov-V+M,156,0.06774193548387097,0.39622641509433965,1.0,0.0,32.5
12,Innov-D+M,184,0.06774193548387097,0.41509433962264153,1.0,0.0,42.0
