method,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,ckpt_auc,ckpt_sha256,val_scenarios
Innov-NONE,1.0,0,0.0,1.0,0.625,42.0,0.0,0.4528301886792453,0.06774193548387097,0.5268817204301075,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-V,1.0,0,0.0,1.0,0.65,32.5,0.0,0.39622641509433965,0.06774193548387097,0.5053763440860215,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-D,1.0,0,0.0,1.0,0.475,42.0,0.0,0.41509433962264153,0.06774193548387097,0.44086021505376344,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-M,1.0,0,0.0,1.0,0.625,42.0,0.0,0.4528301886792453,0.06774193548387097,0.5268817204301075,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-H,1.0,0,0.0,1.0,0.9,43.0,0.0,0.7547169811320755,0.001075268817204301,0.8172043010752689,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-V+D,1.0,0,0.0,1.0,0.5,20.0,0.0,0.3584905660377358,0.06774193548387097,0.41935483870967744,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-V+M,1.0,0,0.0,1.0,0.65,32.5,0.0,0.39622641509433965,0.06774193548387097,0.5053763440860215,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-V+H,1.0,0,0.0,1.0,0.9,37.5,0.0,0.660377358490566,0.001075268817204301,0.7634408602150538,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-D+M,1.0,0,0.0,1.0,0.475,42.0,0.0,0.41509433962264153,0.06774193548387097,0.44086021505376344,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-D+H,1.0,0,0.0,1.0,0.825,43.0,0.0,0.7547169811320755,0.001075268817204301,0.7849462365591398,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-M+H,1.0,0,0.0,1.0,0.9,43.0,0.0,0.7547169811320755,0.0,0.8172043010752689,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
Innov-V+D+M+H,1.0,0,0.0,1.0,0.8,37.5,0.0,0.660377358490566,0.0,0.7204301075268817,0.814229377928008,003b32d0b53efb678f972356605aa5ada020a44228893ef805c0a759844a6b35,2
