method,V,D,M,H,DA_WPC,DA_FA(f),DA_Det(s),DA_Rank,SUMO_runs,SUMO_CollRate,SUMO_OverlapRate,SUMO_AvgSev,SUMO_WPC
Innov-NONE,0,0,0,0,0.021505989731888192,0.5805609915198956,1.0,5,10,0.000000,0.100000,0.000000,0.000511
Innov-V,1,0,0,0,0.02190530519110097,0.5655577299412916,1.0,10,10,0.000000,0.100000,0.000000,0.000511
Innov-D,0,1,0,0,0.021505989731888192,0.4455316373124592,1.0,4,10,0.000000,0.100000,0.000000,0.000511
Innov-M,0,0,1,0,0.021448944666286367,0.5805609915198956,1.0,6,10,0.000000,0.100000,0.000000,0.000568
Innov-H,0,0,0,1,0.002338847689674843,0.6451402478799739,1.0,1,10,0.000000,0.100000,0.000000,0.000000
Innov-V+D,1,1,0,0,0.02190530519110097,0.43313763861709065,1.0,11,10,0.000000,0.100000,0.000000,0.000511
Innov-V+M,1,0,1,0,0.02190530519110097,0.5655577299412916,1.0,12,10,0.000000,0.100000,0.000000,0.000568
Innov-V+H,1,0,0,1,0.0029092983456930977,0.6301369863013698,1.0,8,10,0.000000,0.100000,0.000000,0.000000
Innov-D+M,0,1,1,0,0.021448944666286367,0.4116112198303979,1.0,3,10,0.000000,0.100000,0.000000,0.000227
Innov-D+H,0,1,0,1,0.002338847689674843,0.5179386823222439,1.0,2,10,0.000000,0.100000,0.000000,0.000000
Innov-M+H,0,0,1,1,0.002167712492869367,0.6451402478799739,1.0,7,10,0.000000,0.100000,0.000000,0.000000
Innov-V+D+M+H,1,1,1,1,0.0029092983456930977,0.4840182648401826,1.0,9,10,0.000000,0.100000,0.000000,0.000000
