method,V,D,M,H,DA_WPC,DA_FA(f),DA_Det(s),DA_Rank,SUMO_runs,SUMO_CollRate,SUMO_OverlapRate,SUMO_AvgSev,SUMO_WPC
Innov-NONE,0,0,0,0,0.021505989731888192,0.5805609915198956,1.0,5,26,0.153846,0.192308,2.076923,0.004318
Innov-V,1,0,0,0,0.02190530519110097,0.5655577299412916,1.0,10,26,0.153846,0.192308,2.076923,0.004432
Innov-D,0,1,0,0,0.021505989731888192,0.4455316373124592,1.0,4,26,0.269231,0.307692,3.062508,0.004356
Innov-M,0,0,1,0,0.021448944666286367,0.5805609915198956,1.0,6,26,0.307692,0.307692,1.534253,0.007121
Innov-H,0,0,0,1,0.002338847689674843,0.6451402478799739,1.0,1,26,0.153846,0.192308,2.076923,0.000114
Innov-V+D,1,1,0,0,0.02190530519110097,0.43313763861709065,1.0,11,26,0.269231,0.307692,3.062508,0.004375
Innov-V+M,1,0,1,0,0.02190530519110097,0.5655577299412916,1.0,12,26,0.307692,0.307692,1.534253,0.007159
Innov-V+H,1,0,0,1,0.0029092983456930977,0.6301369863013698,1.0,8,26,0.153846,0.192308,2.076923,0.000170
Innov-D+M,0,1,1,0,0.021448944666286367,0.4116112198303979,1.0,3,26,0.346154,0.346154,2.242109,0.025398
Innov-D+H,0,1,0,1,0.002338847689674843,0.5179386823222439,1.0,2,26,0.269231,0.307692,3.062508,0.000114
Innov-M+H,0,0,1,1,0.002167712492869367,0.6451402478799739,1.0,7,26,0.115385,0.115385,1.282592,0.000000
Innov-V+D+M+H,1,1,1,1,0.0029092983456930977,0.4840182648401826,1.0,9,26,0.115385,0.115385,1.300298,0.000000
