scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS1_blind_rand42,Innov-NONE,46,0,-1,0,,-1,0,29,0.0,61,2200,191,220
BS1_blind_rand42,Innov-V,46,0,-1,0,,-1,0,29,0.0,61,2200,191,220
BS1_blind_rand42,Innov-D,46,0,-1,0,,-1,0,29,0.0,61,2200,53,220
BS1_blind_rand42,Innov-M,46,0,-1,0,,-1,0,29,0.0,61,2200,191,220
BS1_blind_rand42,Innov-H,46,0,-1,0,,-1,0,29,0.0,3,2200,191,220
BS1_blind_rand42,Innov-V+D,46,0,-1,0,,-1,0,29,0.0,61,2200,53,220
BS1_blind_rand42,Innov-V+M,46,0,-1,0,,-1,0,29,0.0,61,2200,191,220
BS1_blind_rand42,Innov-V+H,46,0,-1,0,,-1,0,29,0.0,3,2200,191,220
BS1_blind_rand42,Innov-D+M,46,0,-1,0,,-1,0,29,0.0,61,2200,47,220
BS1_blind_rand42,Innov-D+H,46,0,-1,0,,-1,0,29,0.0,0,2200,64,220
BS1_blind_rand42,Innov-M+H,46,0,-1,0,,-1,0,29,0.0,0,2200,191,220
BS1_blind_rand42,Innov-V+D+M+H,46,0,-1,0,,-1,0,29,0.0,0,2200,67,220
BS1_nonblind_rand42,Innov-NONE,46,0,-1,0,,-1,0,26,0.0,61,2200,161,220
BS1_nonblind_rand42,Innov-V,46,0,-1,0,,-1,0,26,0.0,64,2200,160,220
BS1_nonblind_rand42,Innov-D,46,0,-1,0,,-1,0,26,0.0,64,2200,79,220
BS1_nonblind_rand42,Innov-M,46,1,74,0,bg_42_0+ego;bg_42_1+ego,-1,0,26,5.989372239762396,110,2200,115,220
BS1_nonblind_rand42,Innov-H,46,0,-1,0,,-1,0,26,0.0,2,2200,164,220
BS1_nonblind_rand42,Innov-V+D,46,0,-1,0,,-1,0,26,0.0,64,2200,79,220
BS1_nonblind_rand42,Innov-V+M,46,1,74,0,bg_42_0+ego;bg_42_1+ego,-1,0,26,5.989372239762396,111,2200,115,220
BS1_nonblind_rand42,Innov-V+H,46,0,-1,0,,-1,0,26,0.0,2,2200,164,220
BS1_nonblind_rand42,Innov-D+M,46,1,74,0,bg_42_0+ego;bg_42_1+ego,-1,0,26,6.131683266110481,114,2200,80,220
BS1_nonblind_rand42,Innov-D+H,46,0,-1,0,,-1,0,26,0.0,2,2200,87,220
BS1_nonblind_rand42,Innov-M+H,46,1,82,0,bg_42_0+ego,-1,0,26,8.666682150783945,0,2200,115,220
BS1_nonblind_rand42,Innov-V+D+M+H,46,1,82,0,bg_42_0+ego,-1,0,26,8.666682150783945,0,2200,91,220
BS2_blind_rand42,Innov-NONE,25,0,-1,0,,-1,0,3,0.0,0,2200,127,220
BS2_blind_rand42,Innov-V,25,0,-1,0,,-1,0,3,0.0,0,2200,127,220
BS2_blind_rand42,Innov-D,25,0,-1,0,,-1,0,3,0.0,0,2200,65,220
BS2_blind_rand42,Innov-M,25,1,16,1,attacker_rear+ego;bg_42_2+ego;bg_42_1+ego;bg_42_3+ego,16,1,3,9.085623855642392,0,2200,131,220
BS2_blind_rand42,Innov-H,25,0,-1,0,,-1,0,3,0.0,0,2200,132,220
BS2_blind_rand42,Innov-V+D,25,0,-1,0,,-1,0,3,0.0,0,2200,65,220
BS2_blind_rand42,Innov-V+M,25,1,16,1,attacker_rear+ego;bg_42_2+ego;bg_42_1+ego;bg_42_3+ego,16,1,3,9.085623855642392,0,2200,131,220
