scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS1_blind_stress,Innov-NONE,46,0,-1,0,,-1,0,29,0.0,1,2200,63,220
BS1_blind_stress,Innov-V,46,0,-1,0,,-1,0,29,0.0,1,2200,63,220
BS1_blind_stress,Innov-D,46,0,-1,0,,-1,0,29,0.0,1,2200,23,220
BS1_blind_stress,Innov-M,46,0,-1,0,,-1,0,29,0.0,0,2200,63,220
BS1_blind_stress,Innov-H,46,0,-1,0,,-1,0,29,0.0,0,2200,63,220
BS1_blind_stress,Innov-V+D,46,0,-1,0,,-1,0,29,0.0,1,2200,23,220
BS1_blind_stress,Innov-V+M,46,0,-1,0,,-1,0,29,0.0,0,2200,63,220
BS1_blind_stress,Innov-V+H,46,0,-1,0,,-1,0,29,0.0,0,2200,63,220
BS1_blind_stress,Innov-D+M,46,0,-1,0,,-1,0,29,0.0,0,2200,25,220
BS1_blind_stress,Innov-D+H,46,0,-1,0,,-1,0,29,0.0,0,2200,23,220
BS1_blind_stress,Innov-M+H,46,0,-1,0,,-1,0,29,0.0,0,2200,63,220
BS1_blind_stress,Innov-V+D+M+H,46,0,-1,0,,-1,0,29,0.0,0,2200,25,220
BS1_nonblind_stress,Innov-NONE,46,0,-1,0,,-1,0,26,0.0,1,2200,11,220
BS1_nonblind_stress,Innov-V,46,0,-1,0,,-1,0,26,0.0,1,2200,10,220
BS1_nonblind_stress,Innov-D,46,0,-1,0,,-1,0,26,0.0,1,2200,8,220
BS1_nonblind_stress,Innov-M,46,0,-1,0,,-1,0,26,0.0,1,2200,15,220
BS1_nonblind_stress,Innov-H,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind_stress,Innov-V+D,46,0,-1,0,,-1,0,26,0.0,1,2200,8,220
BS1_nonblind_stress,Innov-V+M,46,0,-1,0,,-1,0,26,0.0,1,2200,15,220
BS1_nonblind_stress,Innov-V+H,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind_stress,Innov-D+M,46,0,-1,0,,-1,0,26,0.0,1,2200,15,220
BS1_nonblind_stress,Innov-D+H,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind_stress,Innov-M+H,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind_stress,Innov-V+D+M+H,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS2_blind_stress,Innov-NONE,25,0,-1,0,,-1,0,3,0.0,0,2200,84,220
BS2_blind_stress,Innov-V,25,0,-1,0,,-1,0,3,0.0,0,2200,84,220
BS2_blind_stress,Innov-D,25,0,-1,0,,-1,0,3,0.0,0,2200,34,220
BS2_blind_stress,Innov-M,25,1,48,1,attacker_rear+ego,48,1,3,13.499999508248633,0,2200,88,220
BS2_blind_stress,Innov-H,25,0,-1,0,,-1,0,3,0.0,0,2200,89,220
BS2_blind_stress,Innov-V+D,25,0,-1,0,,-1,0,3,0.0,0,2200,34,220
BS2_blind_stress,Innov-V+M,25,1,48,1,attacker_rear+ego,48,1,3,13.499999508248633,0,2200,88,220
