scenario,method,runs,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,OverlapRate,OverlapN
BS1_blind_stress,Innov-NONE,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.00045454545454545455,0.2863636363636364,0.0,0
BS1_blind_stress,Innov-V,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.00045454545454545455,0.2863636363636364,0.0,0
BS1_blind_stress,Innov-D,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.00045454545454545455,0.10454545454545454,0.0,0
BS1_blind_stress,Innov-M,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.19487179487179487,0.0,0.2863636363636364,0.0,0
BS1_blind_stress,Innov-H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.0,0.2863636363636364,0.0,0
BS1_blind_stress,Innov-V+D,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.00045454545454545455,0.10454545454545454,0.0,0
BS1_blind_stress,Innov-V+M,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.19487179487179487,0.0,0.2863636363636364,0.0,0
BS1_blind_stress,Innov-V+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.0,0.2863636363636364,0.0,0
BS1_blind_stress,Innov-D+M,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.11363636363636363,0.0,0
BS1_blind_stress,Innov-D+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.10454545454545454,0.0,0
BS1_blind_stress,Innov-M+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.19487179487179487,0.0,0.2863636363636364,0.0,0
BS1_blind_stress,Innov-V+D+M+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.11363636363636363,0.0,0
BS1_nonblind_stress,Innov-NONE,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.014150943396226415,0.00045454545454545455,0.05,0.0,0
BS1_nonblind_stress,Innov-V,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.009433962264150943,0.00045454545454545455,0.045454545454545456,0.0,0
BS1_nonblind_stress,Innov-D,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.03636363636363636,0.0,0
BS1_nonblind_stress,Innov-M,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.06818181818181818,0.0,0
BS1_nonblind_stress,Innov-H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.03755868544600939,0.0,0.06818181818181818,0.0,0
BS1_nonblind_stress,Innov-V+D,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.03636363636363636,0.0,0
BS1_nonblind_stress,Innov-V+M,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.06818181818181818,0.0,0
BS1_nonblind_stress,Innov-V+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.03755868544600939,0.0,0.06818181818181818,0.0,0
BS1_nonblind_stress,Innov-D+M,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.06818181818181818,0.0,0
BS1_nonblind_stress,Innov-D+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0330188679245283,0.0,0.06818181818181818,0.0,0
BS1_nonblind_stress,Innov-M+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.06818181818181818,0.0,0
BS1_nonblind_stress,Innov-V+D+M+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.06818181818181818,0.0,0
BS2_blind_stress,Innov-NONE,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.2727272727272727,0.0,0.38181818181818183,0.0,0
BS2_blind_stress,Innov-V,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.2727272727272727,0.0,0.38181818181818183,0.0,0
BS2_blind_stress,Innov-D,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.0,0.0,0.15454545454545454,0.0,0
BS2_blind_stress,Innov-M,1,1.0,0,13.499999508248633,1.0,1.0,22.0,0.0,0.27472527472527475,0.0,0.4,1.0,1
BS2_blind_stress,Innov-H,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.30687830687830686,0.0,0.40454545454545454,0.0,0
BS2_blind_stress,Innov-V+D,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.0,0.0,0.15454545454545454,0.0,0
BS2_blind_stress,Innov-V+M,1,1.0,0,13.499999508248633,1.0,1.0,22.0,0.0,0.27472527472527475,0.0,0.4,1.0,1
BS2_blind_stress,Innov-V+H,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.2925531914893617,0.0,0.39545454545454545,0.0,0
BS2_blind_stress,Innov-D+M,1,1.0,0,13.499999195715338,1.0,1.0,22.0,0.0,0.0,0.0,0.18636363636363637,1.0,1
BS2_blind_stress,Innov-D+H,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.053475935828877004,0.0,0.19545454545454546,0.0,0
BS2_blind_stress,Innov-M+H,1,0.0,0,0.0,1.0,1.0,22.0,0.0,0.27472527472527475,0.0,0.4,0.0,0
BS2_blind_stress,Innov-V+D+M+H,1,0.0,0,0.0,1.0,0.9487179487179487,22.0,0.0,0.016574585635359115,0.0,0.18181818181818182,0.0,0
BS2_nonblind_stress,Innov-NONE,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.2054794520547945,0.003181818181818182,0.20909090909090908,0.0,0
BS2_nonblind_stress,Innov-V,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.2054794520547945,0.003181818181818182,0.20909090909090908,0.0,0
BS2_nonblind_stress,Innov-D,1,1.0,0,13.5,1.0,1.0,25.0,0.0,0.0,0.004545454545454545,0.10909090909090909,1.0,1
BS2_nonblind_stress,Innov-M,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.8715596330275229,0.004090909090909091,0.8727272727272727,0.0,0
BS2_nonblind_stress,Innov-H,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.1780821917808219,0.0,0.18181818181818182,0.0,0
BS2_nonblind_stress,Innov-V+D,1,1.0,0,13.5,1.0,1.0,25.0,0.0,0.0,0.004545454545454545,0.10909090909090909,1.0,1
BS2_nonblind_stress,Innov-V+M,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.8715596330275229,0.004090909090909091,0.8727272727272727,0.0,0
BS2_nonblind_stress,Innov-V+H,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.1735159817351598,0.0,0.17727272727272728,0.0,0
BS2_nonblind_stress,Innov-D+M,1,1.0,0,10.86576,1.0,0.6206896551724138,25.0,0.0,0.031413612565445025,0.004090909090909091,0.10909090909090909,1.0,1
BS2_nonblind_stress,Innov-D+H,1,1.0,0,13.5,1.0,1.0,25.0,0.0,0.08080808080808081,0.0,0.17272727272727273,1.0,1
BS2_nonblind_stress,Innov-M+H,1,0.0,0,0.0,1.0,1.0,25.0,0.0,0.8623853211009175,0.0,0.8636363636363636,0.0,0
BS2_nonblind_stress,Innov-V+D+M+H,1,0.0,0,0.0,1.0,0.8846153846153846,25.0,0.0,0.08247422680412371,0.0,0.17727272727272728,0.0,0
BS3_blind_stress,Innov-NONE,1,1.0,0,13.4999997408,1.0,1.0,38.0,0.0,0.12972972972972974,0.0,0.2681818181818182,1.0,1
BS3_blind_stress,Innov-V,1,1.0,0,13.4999997408,1.0,1.0,38.0,0.0,0.12972972972972974,0.0,0.2681818181818182,1.0,1
BS3_blind_stress,Innov-D,1,1.0,0,13.499999865,1.0,1.0,22.0,0.0,0.0,0.0,0.16363636363636364,1.0,1
BS3_blind_stress,Innov-M,1,0.0,0,0.0,1.0,1.0,38.0,0.0,0.32105263157894737,0.0,0.41363636363636364,0.0,0
BS3_blind_stress,Innov-H,1,1.0,0,13.4999997408,1.0,1.0,38.0,0.0,0.12972972972972974,0.0,0.2681818181818182,1.0,1
BS3_blind_stress,Innov-V+D,1,1.0,0,13.499999865,1.0,1.0,22.0,0.0,0.0,0.0,0.16363636363636364,1.0,1
BS3_blind_stress,Innov-V+M,1,0.0,0,0.0,1.0,1.0,38.0,0.0,0.32105263157894737,0.0,0.41363636363636364,0.0,0
