scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS1_blind,NoCon-egoonly,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind,NoCon-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind,RSS-coop,46,0,-1,0,,-1,0,29,0.0,1,2200,28,220
BS1_blind,UniE2EV2X-coop,46,0,-1,0,,-1,0,37,0.0,0,2200,8,220
BS1_blind,MAP-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind,RiskMM-coop,46,0,-1,0,,-1,0,29,0.0,0,2200,41,220
BS1_blind,Hybrid-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,63,220
BS1_blind,Hybrid+AND-thr0.30,46,0,-1,0,,-1,0,37,0.0,0,2200,3,220
BS1_blind,Hybrid+AND+TTC-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,23,220
BS1_blind,Hybrid+AND+TTC+RearAware-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,23,220
BS1_blind,Hybrid+AND+TTC+MinHarm-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,25,220
BS1_blind,Hybrid+AND+TTC+RearEscape-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,25,220
BS1_nonblind,NoCon-egoonly,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind,NoCon-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind,RSS-coop,46,0,-1,0,,-1,0,26,0.0,0,2200,16,220
BS1_nonblind,UniE2EV2X-coop,46,0,-1,0,,-1,0,26,0.0,0,2200,14,220
BS1_nonblind,MAP-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind,RiskMM-coop,46,0,-1,0,,-1,0,26,0.0,1,2200,15,220
BS1_nonblind,Hybrid-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind,Hybrid+AND-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,14,220
BS1_nonblind,Hybrid+AND+TTC-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind,Hybrid+AND+TTC+RearAware-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind,Hybrid+AND+TTC+MinHarm-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind,Hybrid+AND+TTC+RearEscape-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS2_blind,NoCon-egoonly,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_blind,NoCon-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_blind,RSS-coop,25,0,-1,0,,-1,0,3,0.0,0,2200,44,220
BS2_blind,UniE2EV2X-coop,25,0,-1,0,,-1,0,3,0.0,0,2200,22,220
BS2_blind,MAP-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_blind,RiskMM-coop,25,0,-1,0,,-1,0,3,0.0,0,2200,58,220
BS2_blind,Hybrid-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,89,220
BS2_blind,Hybrid+AND-thr0.30,25,0,-1,0,,-1,0,7,0.0,0,2200,31,220
BS2_blind,Hybrid+AND+TTC-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,42,220
BS2_blind,Hybrid+AND+TTC+RearAware-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,43,220
BS2_blind,Hybrid+AND+TTC+MinHarm-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,40,220
BS2_blind,Hybrid+AND+TTC+RearEscape-thr0.30,25,0,-1,0,,-1,0,3,0.0,0,2200,40,220
BS2_nonblind,NoCon-egoonly,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_nonblind,NoCon-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_nonblind,RSS-coop,25,0,-1,0,,-1,0,0,0.0,0,2200,11,220
BS2_nonblind,UniE2EV2X-coop,25,0,-1,0,,-1,0,0,0.0,0,2200,4,220
BS2_nonblind,MAP-coop,25,1,25,0,attacker+ego,-1,0,-1,13.5,0,900,0,90
BS2_nonblind,RiskMM-coop,25,0,-1,0,,-1,0,0,0.0,0,2200,6,220
BS2_nonblind,Hybrid-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,24,220
BS2_nonblind,Hybrid+AND-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,3,220
BS2_nonblind,Hybrid+AND+TTC-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,3,220
BS2_nonblind,Hybrid+AND+TTC+RearAware-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,20,220
BS2_nonblind,Hybrid+AND+TTC+MinHarm-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,20,220
BS2_nonblind,Hybrid+AND+TTC+RearEscape-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,20,220
BS3_blind,NoCon-egoonly,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind,NoCon-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind,RSS-coop,49,0,-1,0,,-1,0,27,0.0,0,2200,41,220
BS3_blind,UniE2EV2X-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind,MAP-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind,RiskMM-coop,49,0,-1,0,,-1,0,27,0.0,0,2200,54,220
BS3_blind,Hybrid-thr0.30,49,0,-1,0,,-1,0,27,0.0,0,2200,79,220
BS3_blind,Hybrid+AND-thr0.30,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind,Hybrid+AND+TTC-thr0.30,49,0,-1,0,,-1,0,27,0.0,0,2200,27,220
BS3_blind,Hybrid+AND+TTC+RearAware-thr0.30,49,0,-1,0,,-1,0,27,0.0,0,2200,27,220
BS3_blind,Hybrid+AND+TTC+MinHarm-thr0.30,49,0,-1,0,,-1,0,27,0.0,0,2200,34,220
BS3_blind,Hybrid+AND+TTC+RearEscape-thr0.30,49,0,-1,0,,-1,0,27,0.0,0,2200,34,220
BS3_nonblind,NoCon-egoonly,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind,NoCon-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind,RSS-coop,49,0,-1,0,,-1,0,22,0.0,0,2200,19,220
BS3_nonblind,UniE2EV2X-coop,49,0,-1,1,,80,1,39,0.0,0,2200,5,220
BS3_nonblind,MAP-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind,RiskMM-coop,49,0,-1,0,,-1,0,22,0.0,0,2200,4,220
BS3_nonblind,Hybrid-thr0.30,49,0,-1,1,,106,1,33,0.0,0,2200,1,220
BS3_nonblind,Hybrid+AND-thr0.30,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind,Hybrid+AND+TTC-thr0.30,49,0,-1,1,,83,1,22,0.0,0,2200,1,220
BS3_nonblind,Hybrid+AND+TTC+RearAware-thr0.30,49,0,-1,1,,83,1,22,0.0,0,2200,1,220
BS3_nonblind,Hybrid+AND+TTC+MinHarm-thr0.30,49,0,-1,1,,90,1,22,0.0,0,2200,7,220
BS3_nonblind,Hybrid+AND+TTC+RearEscape-thr0.30,49,0,-1,1,,90,1,22,0.0,0,2200,7,220
BS4_blind,NoCon-egoonly,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_blind,NoCon-coop,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_blind,RSS-coop,50,0,-1,0,,-1,0,26,0.0,0,2200,39,220
BS4_blind,UniE2EV2X-coop,50,0,-1,0,,-1,0,37,0.0,0,2200,3,220
BS4_blind,MAP-coop,50,0,-1,0,,-1,0,45,0.0,0,2110,2,211
BS4_blind,RiskMM-coop,50,0,-1,0,,-1,0,26,0.0,0,2200,52,220
BS4_blind,Hybrid-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,75,220
BS4_blind,Hybrid+AND-thr0.30,50,0,-1,0,,-1,0,45,0.0,0,2200,1,220
BS4_blind,Hybrid+AND+TTC-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,32,220
BS4_blind,Hybrid+AND+TTC+RearAware-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,32,220
BS4_blind,Hybrid+AND+TTC+MinHarm-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,35,220
BS4_blind,Hybrid+AND+TTC+RearEscape-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,35,220
BS4_nonblind,NoCon-egoonly,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_nonblind,NoCon-coop,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_nonblind,RSS-coop,50,0,-1,0,,-1,0,22,0.0,0,2200,19,220
BS4_nonblind,UniE2EV2X-coop,50,0,-1,0,,-1,0,37,0.0,0,2200,3,220
BS4_nonblind,MAP-coop,50,0,-1,0,,-1,0,45,0.0,0,2110,2,211
BS4_nonblind,RiskMM-coop,50,0,-1,0,,-1,0,22,0.0,0,2200,4,220
BS4_nonblind,Hybrid-thr0.30,50,0,-1,0,,-1,0,33,0.0,0,2200,1,220
BS4_nonblind,Hybrid+AND-thr0.30,50,0,-1,0,,-1,0,45,0.0,0,2200,1,220
BS4_nonblind,Hybrid+AND+TTC-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,2,220
BS4_nonblind,Hybrid+AND+TTC+RearAware-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,2,220
BS4_nonblind,Hybrid+AND+TTC+MinHarm-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,4,220
BS4_nonblind,Hybrid+AND+TTC+RearEscape-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,4,220
BS5_blind,NoCon-egoonly,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,NoCon-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,RSS-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,UniE2EV2X-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,MAP-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,RiskMM-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,Hybrid-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,Hybrid+AND-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,Hybrid+AND+TTC-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,Hybrid+AND+TTC+RearAware-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,Hybrid+AND+TTC+MinHarm-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_blind,Hybrid+AND+TTC+RearEscape-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,NoCon-egoonly,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,NoCon-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,RSS-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,UniE2EV2X-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,MAP-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,RiskMM-coop,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,Hybrid-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,Hybrid+AND-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,Hybrid+AND+TTC-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,Hybrid+AND+TTC+RearAware-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,Hybrid+AND+TTC+MinHarm-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
BS5_nonblind,Hybrid+AND+TTC+RearEscape-thr0.30,-1,0,-1,0,,-1,0,-1,0.0,0,0,0,0
