scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS1_blind_stress,NoCon-egoonly,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind_stress,NoCon-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind_stress,RSS-coop,46,0,-1,0,,-1,0,29,0.0,1,2200,28,220
BS1_blind_stress,UniE2EV2X-coop,46,0,-1,0,,-1,0,37,0.0,0,2200,8,220
BS1_blind_stress,MAP-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_blind_stress,RiskMM-coop,46,0,-1,0,,-1,0,29,0.0,0,2200,41,220
BS1_blind_stress,Hybrid-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,63,220
BS1_blind_stress,Hybrid+AND-thr0.30,46,0,-1,0,,-1,0,37,0.0,0,2200,3,220
BS1_blind_stress,Hybrid+AND+TTC-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,23,220
BS1_blind_stress,Hybrid+AND+TTC+RearAware-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,23,220
BS1_blind_stress,Hybrid+AND+TTC+MinHarm-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,25,220
BS1_blind_stress,Hybrid+AND+TTC+RearEscape-thr0.30,46,0,-1,0,,-1,0,29,0.0,0,2200,25,220
BS1_nonblind_stress,NoCon-egoonly,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind_stress,NoCon-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind_stress,RSS-coop,46,0,-1,0,,-1,0,26,0.0,0,2200,16,220
BS1_nonblind_stress,UniE2EV2X-coop,46,0,-1,0,,-1,0,26,0.0,0,2200,14,220
BS1_nonblind_stress,MAP-coop,46,1,46,1,attacker+ego,45,1,-1,11.30406496711113,0,770,0,77
BS1_nonblind_stress,RiskMM-coop,46,0,-1,0,,-1,0,26,0.0,1,2200,15,220
BS1_nonblind_stress,Hybrid-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind_stress,Hybrid+AND-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,14,220
BS1_nonblind_stress,Hybrid+AND+TTC-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind_stress,Hybrid+AND+TTC+RearAware-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
BS1_nonblind_stress,Hybrid+AND+TTC+MinHarm-thr0.30,46,0,-1,0,,-1,0,26,0.0,0,2200,15,220
